country,indicator,date,value
MYS,Inflation,2006-12-31,3.60923564224389
MYS,Inflation,2005-12-31,2.97507092684449
MYS,Inflation,2004-12-31,1.42127115937402
MYS,Inflation,2003-12-31,1.08967632577286
MYS,Inflation,2002-12-31,1.80787246281536
MYS,Inflation,2001-12-31,1.41678473206098
MYS,Inflation,2000-12-31,1.53474023697699
MYS,Interest rate,2025-12-31,4.82472886111111
MYS,Interest rate,2024-12-31,5.282681
MYS,Interest rate,2023-12-31,5.31737500641025
MYS,Interest rate,2022-12-31,3.90802666666667
MYS,Interest rate,2021-12-31,3.44410640384615
MYS,Interest rate,2020-12-31,3.94420769234615
MYS,Interest rate,2019-12-31,4.87689294871795
MYS,Interest rate,2018-12-31,4.92844038461538
MYS,Interest rate,2017-12-31,4.60807808641975
MYS,Interest rate,2016-12-31,4.53106666666667
MYS,Interest rate,2015-12-31,4.565375
MYS,Interest rate,2014-12-31,4.587025
MYS,Interest rate,2013-12-31,4.6498
MYS,Interest rate,2012-12-31,4.78583333333333
MYS,Interest rate,2011-12-31,4.915
MYS,Interest rate,2010-12-31,5.0
MYS,Interest rate,2009-12-31,5.08416666666666
MYS,Interest rate,2008-12-31,6.08
MYS,Interest rate,2007-12-31,6.40916666666667
MYS,Interest rate,2006-12-31,6.48583333333333
MYS,Interest rate,2005-12-31,5.9525
MYS,Interest rate,2004-12-31,6.04583333333333
MYS,Interest rate,2003-12-31,6.30083333333333
MYS,Interest rate,2002-12-31,6.52833333333334
MYS,Interest rate,2001-12-31,7.12666666666667
MYS,Interest rate,2000-12-31,7.67333333333333
MYS,GDP growth,2025-12-31,5.17127082911057
MYS,GDP growth,2024-12-31,5.10545921024041
MYS,GDP growth,2023-12-31,3.5370638041057
MYS,GDP growth,2022-12-31,9.03173723044451
MYS,GDP growth,2021-12-31,3.31534954399166
MYS,GDP growth,2020-12-31,-5.45684658426701
MYS,GDP growth,2019-12-31,4.41318742129586
MYS,GDP growth,2018-12-31,4.84308697634881
MYS,GDP growth,2017-12-31,5.81272240983328
MYS,GDP growth,2016-12-31,4.44978139761541
MYS,GDP growth,2015-12-31,5.09153242155011
MYS,GDP growth,2014-12-31,6.00672194558203
MYS,GDP growth,2013-12-31,4.69372252557893
MYS,GDP growth,2012-12-31,5.47345419253853
MYS,GDP growth,2011-12-31,5.29391283414003
MYS,GDP growth,2010-12-31,7.42484738326097
MYS,GDP growth,2009-12-31,-1.51352871598714
MYS,GDP growth,2008-12-31,4.83176988913097
MYS,GDP growth,2007-12-31,6.29878592740947
MYS,GDP growth,2006-12-31,5.5848470671515
MYS,GDP growth,2005-12-31,5.33213916141486
MYS,GDP growth,2004-12-31,6.78343772370305
MYS,GDP growth,2003-12-31,5.7884992858875
MYS,GDP growth,2002-12-31,5.39098830692797
MYS,GDP growth,2001-12-31,0.517675319192861
MYS,GDP growth,2000-12-31,8.85886816969386
PHL,Inflation,2025-12-31,1.6587364525509
PHL,Inflation,2024-12-31,3.21260487006347
PHL,Inflation,2023-12-31,5.97802515541409
PHL,Inflation,2022-12-31,5.82115811213955
PHL,Inflation,2021-12-31,3.92718022100332
PHL,Inflation,2020-12-31,2.3931623931624
PHL,Inflation,2019-12-31,2.39206534422404
PHL,Inflation,2018-12-31,5.30934661627707
PHL,Inflation,2017-12-31,2.85318772590947
PHL,Inflation,2016-12-31,1.25369880080982
PHL,Inflation,2015-12-31,0.674192536845408
PHL,Inflation,2014-12-31,3.59782343864211
PHL,Inflation,2013-12-31,2.58268766141795
PHL,Inflation,2012-12-31,3.02696391124796
PHL,Inflation,2011-12-31,4.7184170471842
PHL,Inflation,2010-12-31,3.78983634797591
PHL,Inflation,2009-12-31,4.21903052064628
PHL,Inflation,2008-12-31,8.26044703595725
PHL,Inflation,2007-12-31,2.90000000000003
PHL,Inflation,2006-12-31,5.4852320675105
PHL,Inflation,2005-12-31,6.51685393258433
PHL,Inflation,2004-12-31,4.82921083627795
PHL,Inflation,2003-12-31,2.28915662650607
PHL,Inflation,2002-12-31,2.72277227722765
PHL,Inflation,2001-12-31,5.34550195567142
PHL,Inflation,2000-12-31,3.9771250324928
PHL,Interest rate,2019-12-31,7.09583333333333
PHL,Interest rate,2018-12-31,6.1185
PHL,Interest rate,2017-12-31,5.62725
PHL,Interest rate,2016-12-31,5.642
PHL,Interest rate,2015-12-31,5.57825
