iso3,indicator,side,rule_id,label_en,label_fr,value
SMR,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 1.16: solid legal enforcement.,État de droit solide à 1.16 : application du droit fiable.,1.1578037
SOM,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-1.7861136
SOM,Debt service,opportunity,debt_service_low,Low debt service at 0.7% of exports: manageable external burden.,Service de la dette faible a 0.7% des exports : charge externe maitrisee.,0.656954967744848
SOM,External debt,opportunity,ext_debt_low,External debt below 30 % of GNI (value: 14.9),Dette externe sous 30 % du RNB (valeur : 14.9),14.918886594174
SOM,Political stability,risk,political_instability,Political stability below -1.0,"Stabilité politique inférieure à -1,0",-2.2630781
SOM,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-1.7276053999999998
SOM,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-2.2054496
SOM,Unemployment,risk,unemp_high,Unemployment above 15 %,Chômage supérieur à 15 %,18.949
SOM,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,34.137
SRB,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-0.5608287
SRB,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,62.2479849600107
SRB,Gini,opportunity,gini_low,"Low inequality (Gini below 35, value: 32.8)","Inégalités contenues (Gini sous 35, valeur : 32.8)",32.8
SRB,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 6.2),Réserves confortables au-dessus de 6 mois d'importations (valeur : 6.2),6.16544065521643
SSD,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-2.0647211
SSD,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 7.9),Excédent courant au-dessus de 3 % du PIB (valeur : 7.9),7.93071136684621
SSD,Fiscal balance,opportunity,fiscal_surplus,Fiscal surplus of 1.4% of GDP: comfortable policy space.,Excédent budgétaire de 1.4% du PIB : marge de manœuvre confortable.,1.368
SSD,GDP growth,risk,recession,Negative GDP growth,Croissance du PIB négative,-10.7933646271143
SSD,Inflation,risk,inflation_high,Inflation above 10 %,Inflation supérieure à 10 %,91.4408220769046
SSD,Political stability,risk,political_instability,Political stability below -1.0,"Stabilité politique inférieure à -1,0",-1.4896464
SSD,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-1.9295182
SSD,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,0.174842702708606
SSD,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-1.9725304
STP,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 5.0),Excédent courant au-dessus de 3 % du PIB (valeur : 5.0),5.03043269730864
STP,Debt service,opportunity,debt_service_low,Low debt service at 3.5% of exports: manageable external burden.,Service de la dette faible a 3.5% des exports : charge externe maitrisee.,3.46661642028318
